2020-08-03 23:51:39.759 - <module> - INFO - got Action & Adventure  (0), total titles: 420
2020-08-03 23:52:01.548 - <module> - INFO - got Asian Action Movies  (1), total titles: 101
2020-08-03 23:52:21.841 - <module> - INFO - got Classic Action & Adventure  (2), total titles: 18
2020-08-03 23:52:49.249 - <module> - INFO - got Action Comedies  (3), total titles: 136
2020-08-03 23:53:12.972 - <module> - INFO - got Action Thrillers  (4), total titles: 191
2020-08-04 00:08:26.521 - <module> - INFO - got Adventures  (5), total titles: 116
2020-08-04 00:08:41.321 - <module> - INFO - got Comic Book and Superhero Movies  (6), total titles: 17
2020-08-04 00:08:54.833 - <module> - INFO - got Westerns  (7), total titles: 10
2020-08-04 00:09:16.205 - <module> - INFO - got Spy Action & Adventure  (8), total titles: 28
2020-08-04 00:09:36.432 - <module> - INFO - got Crime Action & Adventure  (9), total titles: 232
2020-08-04 00:09:42.822 - <module> - INFO - got Foreign Action & Adventure  (10), total titles: 0
2020-08-04 00:10:00.884 - <module> - INFO - got Martial Arts Movies  (11), total titles: 60
2020-08-04 00:10:14.306 - <module> - INFO - got Military Action & Adventure  (12), total titles: 26
2020-08-04 00:10:26.109 - <module> - INFO - got Anime  (13), total titles: 181
2020-08-04 00:10:40.161 - <module> - INFO - got Adult Animation  (14), total titles: 31
2020-08-04 00:10:59.890 - <module> - INFO - got Anime Action  (15), total titles: 0
2020-08-04 00:11:18.070 - <module> - INFO - got Anime Comedies  (16), total titles: 0
2020-08-04 00:11:40.043 - <module> - INFO - got Anime Dramas  (17), total titles: 0
2020-08-04 00:11:49.081 - <module> - INFO - got Anime Features  (18), total titles: 59
2020-08-04 00:12:05.103 - <module> - INFO - got Anime Sci-Fi  (19), total titles: 0
2020-08-04 00:39:56.154 - <module> - INFO - got Anime Horror  (20), total titles: 0
2020-08-04 00:40:12.820 - <module> - INFO - got Anime Fantasy  (21), total titles: 0
2020-08-04 00:40:24.503 - <module> - INFO - got Anime Series  (22), total titles: 127
2020-08-04 00:40:49.717 - <module> - INFO - got Children & Family Movies  (23), total titles: 267
2020-08-04 00:41:11.633 - <module> - INFO - got Movies for ages 0 to 2  (24), total titles: 0
2020-08-04 00:41:30.717 - <module> - INFO - got Movies for ages 2 to 4  (25), total titles: 0
2020-08-04 00:41:51.882 - <module> - INFO - got Movies for ages 5 to 7  (26), total titles: 0
2020-08-04 00:42:08.226 - <module> - INFO - got Movies for ages 8 to 10  (27), total titles: 0
2020-08-04 00:42:20.019 - <module> - INFO - got Movies for ages 11 to 12  (28), total titles: 0
2020-08-04 00:42:29.429 - <module> - INFO - got Education for Kids  (29), total titles: 0
2020-08-04 00:42:49.058 - <module> - INFO - got Disney  (30), total titles: 9
2020-08-04 00:43:07.538 - <module> - INFO - got Movies based on children's books  (31), total titles: 0
2020-08-04 00:43:18.538 - <module> - INFO - got Family Features  (32), total titles: 0
2020-08-04 00:43:44.027 - <module> - INFO - got TV Cartoons  (33), total titles: 204
2020-08-04 00:44:00.030 - <module> - INFO - got Kids' TV  (34), total titles: 253
2020-08-04 00:44:18.513 - <module> - INFO - got Kids Music  (35), total titles: 0
2020-08-04 00:44:41.153 - <module> - INFO - got Animal Tales  (36), total titles: 0
2020-08-04 00:45:00.394 - <module> - INFO - got Classic Movies  (37), total titles: 78
2020-08-04 00:45:10.234 - <module> - INFO - got Classic Comedies  (38), total titles: 17
2020-08-04 00:45:27.698 - <module> - INFO - got Classic Dramas  (39), total titles: 0
2020-08-04 00:45:42.900 - <module> - INFO - got Classic Sci-Fi & Fantasy  (40), total titles: 0
2020-08-04 00:46:03.715 - <module> - INFO - got Classic Thrillers  (41), total titles: 0
2020-08-04 00:46:26.403 - <module> - INFO - got Film Noir  (42), total titles: 26
2020-08-04 00:46:49.535 - <module> - INFO - got Classic War Movies  (43), total titles: 0
2020-08-04 00:47:00.566 - <module> - INFO - got Epics  (44), total titles: 0
2020-08-04 00:47:18.055 - <module> - INFO - got Classic Foreign Movies  (45), total titles: 0
2020-08-04 00:47:38.317 - <module> - INFO - got Silent Movies  (46), total titles: 0
2020-08-04 00:47:54.859 - <module> - INFO - got Classic Westerns  (47), total titles: 0
2020-08-04 00:48:09.417 - <module> - INFO - got Comedies  (48), total titles: 557
2020-08-04 00:48:37.413 - <module> - INFO - got Dark Comedies  (49), total titles: 239
2020-08-04 00:48:51.893 - <module> - INFO - got Foreign Comedies  (50), total titles: 0
2020-08-04 00:49:14.870 - <module> - INFO - got Late Night Comedies  (51), total titles: 0
2020-08-04 00:49:38.153 - <module> - INFO - got Mockumentaries  (52), total titles: 0
2020-08-04 00:49:52.303 - <module> - INFO - got Political Comedies  (53), total titles: 0
2020-08-04 00:50:10.390 - <module> - INFO - got Screwball Comedies  (54), total titles: 0
2020-08-04 00:50:33.238 - <module> - INFO - got Sports Comedies  (55), total titles: 0
2020-08-04 00:50:45.164 - <module> - INFO - got Stand-up Comedy  (56), total titles: 207
2020-08-04 00:51:06.636 - <module> - INFO - got Teen Comedies  (57), total titles: 51
2020-08-04 00:51:26.237 - <module> - INFO - got Satires  (58), total titles: 0
2020-08-04 00:51:47.546 - <module> - INFO - got Romantic Comedies  (59), total titles: 267
2020-08-04 00:51:59.570 - <module> - INFO - got Slapstick Comedies  (60), total titles: 0
2020-08-04 00:52:23.443 - <module> - INFO - got Cult Movies  (61), total titles: 0
2020-08-04 00:52:47.626 - <module> - INFO - got B-Horror Movies  (62), total titles: 0
2020-08-04 00:52:57.964 - <module> - INFO - got Campy Movies  (63), total titles: 0
2020-08-04 00:53:12.569 - <module> - INFO - got Cult Horror Movies  (64), total titles: 0
2020-08-04 00:53:25.193 - <module> - INFO - got Cult Sci-Fi & Fantasy  (65), total titles: 0
2020-08-04 00:53:43.480 - <module> - INFO - got Cult Comedies  (66), total titles: 0
2020-08-04 00:53:54.549 - <module> - INFO - got Documentaries  (67), total titles: 475
2020-08-04 00:54:12.948 - <module> - INFO - got Biographical Documentaries  (68), total titles: 0
2020-08-04 00:54:22.928 - <module> - INFO - got Crime Documentaries  (69), total titles: 0
2020-08-04 01:00:35.150 - <module> - INFO - got Foreign Documentaries  (70), total titles: 0
2020-08-04 01:00:50.117 - <module> - INFO - got Historical Documentaries  (71), total titles: 0
2020-08-04 01:01:12.657 - <module> - INFO - got Military Documentaries  (72), total titles: 0
2020-08-04 01:01:45.292 - <module> - INFO - got Sports Documentaries  (73), total titles: 0
2020-08-04 01:02:02.894 - <module> - INFO - got Music & Concert Documentaries  (74), total titles: 0
2020-08-04 01:02:23.954 - <module> - INFO - got Travel & Adventure Documentaries  (75), total titles: 0
2020-08-04 01:02:50.254 - <module> - INFO - got Political Documentaries  (76), total titles: 0
2020-08-04 01:03:00.445 - <module> - INFO - got Religious Documentaries  (77), total titles: 0
2020-08-04 01:03:30.913 - <module> - INFO - got Science & Nature Documentaries  (78), total titles: 78
2020-08-04 01:03:53.974 - <module> - INFO - got Social & Cultural Documentaries  (79), total titles: 205
2020-08-04 01:04:35.466 - <module> - INFO - got Dramas  (80), total titles: 567
2020-08-04 01:04:58.903 - <module> - INFO - got Biographical Dramas  (81), total titles: 0
2020-08-04 01:05:08.314 - <module> - INFO - got Courtroom Dramas  (82), total titles: 0
2020-08-04 01:05:40.672 - <module> - INFO - got Crime Dramas  (83), total titles: 0
2020-08-04 01:05:52.792 - <module> - INFO - got Dramas based on Books  (84), total titles: 0
2020-08-04 01:06:23.552 - <module> - INFO - got Dramas based on real life  (85), total titles: 0
2020-08-04 01:06:39.191 - <module> - INFO - got Tearjerkers  (86), total titles: 0
2020-08-04 01:06:48.700 - <module> - INFO - got Foreign Dramas  (87), total titles: 0
2020-08-04 01:07:05.412 - <module> - INFO - got Sports Dramas  (88), total titles: 0
2020-08-04 01:07:28.656 - <module> - INFO - got Gay & Lesbian Dramas  (89), total titles: 39
2020-08-04 01:07:41.191 - <module> - INFO - got Independent Dramas  (90), total titles: 0
2020-08-04 01:07:50.009 - <module> - INFO - got Teen Dramas  (91), total titles: 0
2020-08-04 01:08:08.404 - <module> - INFO - got Military Dramas  (92), total titles: 0
2020-08-04 01:08:24.532 - <module> - INFO - got Period Pieces  (93), total titles: 108
2020-08-04 01:08:46.101 - <module> - INFO - got Political Dramas  (94), total titles: 0
2020-08-04 01:09:09.261 - <module> - INFO - got Romantic Dramas  (95), total titles: 282
2020-08-04 01:09:26.575 - <module> - INFO - got Showbiz Dramas  (96), total titles: 0
2020-08-04 01:09:39.240 - <module> - INFO - got Social Issue Dramas  (97), total titles: 0
2020-08-04 01:09:50.750 - <module> - INFO - got Faith & Spirituality  (98), total titles: 15
2020-08-04 01:10:02.372 - <module> - INFO - got Faith & Spirituality Movies  (99), total titles: 0
2020-08-04 01:10:21.453 - <module> - INFO - got Spiritual Documentaries  (100), total titles: 0
2020-08-04 01:10:44.515 - <module> - INFO - got Kids Faith & Spirituality  (101), total titles: 0
2020-08-04 01:10:54.064 - <module> - INFO - got Foreign Movies  (102), total titles: 0
2020-08-04 01:15:04.259 - <module> - INFO - got Foreign Movies  (102), total titles: 0
2020-08-04 01:15:22.760 - <module> - INFO - got Art House Movies  (103), total titles: 104
2020-08-04 01:15:30.237 - <module> - INFO - got Foreign Gay & Lesbian Movies  (104), total titles: 0
2020-08-04 01:15:38.633 - <module> - INFO - got Foreign Horror Movies  (105), total titles: 0
2020-08-04 01:15:51.201 - <module> - INFO - got Foreign Sci-Fi & Fantasy  (106), total titles: 0
